product_slug,product_name,product_id,sku,reference_sku_private,mpn,mpn_status,brand,category,gtin,gtin_status,gtin_checksum_status,reference_price_private,currency,reference_availability_private,selling_price,availability,product_url,image_url,description,seller_brand,seller_legal_name,merchant_approved
adobe-acrobat-pro-dc-2023,ADOBE ACROBAT PRO DC 2023,LP-8915BFE15C,LP-8915BFE15C,5BL9N6,5BL9N6,assignment_unverified,Adobe,ADOBE,4260518143941,duplicate_conflict,valid,34.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/adobe-acrobat-pro-dc-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
adobe-lightroom-classic-2023,ADOBE LIGHTROOM CLASSIC 2023,LP-CD8EE6FA5D,LP-CD8EE6FA5D,A1FG92,A1FG92,assignment_unverified,Adobe,ADOBE,4251972914178,assignment_unverified,valid,29.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/adobe-lightroom-classic-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
adobe-premiere-pro-2023,ADOBE PREMIERE PRO 2023,LP-00AE62EF31,LP-00AE62EF31,56JO8P,56JO8P,assignment_unverified,Adobe,ADOBE,883919284798,assignment_unverified,valid,29.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/adobe-premiere-pro-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
adobe-after-effects-2023,ADOBE AFTER EFFECTS 2023,LP-B49670CF98,LP-B49670CF98,88HG9L,88HG9L,assignment_unverified,Adobe,ADOBE,1230005926350,assignment_unverified,valid,29.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/adobe-after-effects-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
adobe-indesign-2023,ADOBE INDESIGN 2023,LP-E2565EF2C0,LP-E2565EF2C0,IG5C68,IG5C68,assignment_unverified,Adobe,ADOBE,5029766486274,assignment_unverified,valid,29.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/adobe-indesign-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-11-pro-n,WINDOWS 11 PRO N,LP-7540680FA7,LP-7540680FA7,SO8L22,SO8L22,assignment_unverified,Microsoft,Microsoft Windows 11,0889842965452,duplicate_conflict,valid,9.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-11-pro-n/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-11-education-n,WINDOWS 11 EDUCATION N,LP-9B815B882F,LP-9B815B882F,FM9M75,FM9M75,assignment_unverified,Microsoft,Microsoft Windows 11,8720254950648,assignment_unverified,valid,13.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-11-education-n/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-11-pro-for-workstation,WINDOWS 11 Pro for Workstation,LP-C0D11A5D3E,LP-C0D11A5D3E,WI0S88,WI0S88,assignment_unverified,Microsoft,Microsoft Windows 11,889842906127,assignment_unverified,valid,24.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-11-pro-for-workstation/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-11-education,WINDOWS 11 EDUCATION,LP-6299E98696,LP-6299E98696,WED115,WED115,assignment_unverified,Microsoft,Microsoft Windows 11,787976989965,assignment_unverified,valid,12.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-11-education/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-11-enterprise-n,WINDOWS 11 ENTERPRISE N,LP-3B9ADBC5AB,LP-3B9ADBC5AB,ES89I4,ES89I4,assignment_unverified,Microsoft,Microsoft Windows 11,8720254950624,assignment_unverified,valid,29.95,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-11-enterprise-n/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
